ROI,session,n,r,p,sig
ant_insula_L,ketamine,27,0.6562834709040533,2.0135489029566813e-4,***
ant_insula_L,placebo,27,0.5279562254443851,0.0046480190235431065,**
ant_insula_R,ketamine,27,0.5613071286745696,0.002317362360321801,**
ant_insula_R,placebo,27,0.4625727577099532,0.015120465883467419,*
dACC,ketamine,27,0.6510918380490653,2.3510353035838445e-4,***
dACC,placebo,27,0.35930354231631767,0.06567011322991517,
dlPFC_R,ketamine,27,0.5704688337127833,0.0018896319323371256,**
dlPFC_R,placebo,27,0.212954565471491,0.28620782059296934,
s1_R,ketamine,27,0.44831276653659846,0.019011920629141282,*
s1_R,placebo,27,0.13443329814556104,0.5037972927262628,
s2_L,ketamine,27,0.34356393893301995,0.07932874365350093,
s2_L,placebo,27,0.45951745547937223,0.015893377774235298,*
s2_R,ketamine,27,0.4913727802162037,0.009244428185505948,**
s2_R,placebo,27,0.42713125183521433,0.026275352759829597,*
