ROI,session,calib_temp.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
ant_insula_L,ketamine,0.022006537695836634,0.05516143358218892,791.9476518203977,-0.12677053525368412,0.17078361064535738,0.398947892879679,0.8050456718927214
ant_insula_R,ketamine,0.027562600857363503,0.0551614335821884,791.9476518206734,-0.12121447209215572,0.17633967380688273,0.49967158334085526,0.8050456718927214
dACC,ketamine,0.09243335380561801,0.05516143358218704,791.9476518213168,-0.056343719143897214,0.24121042675513324,1.6756880269962198,0.24910594267216948
dlPFC_R,ketamine,-0.010767787385526417,0.05516143358218804,791.9476518204896,-0.15954486033504472,0.1380092855639919,-0.19520499534303984,0.8452825377924014
s1_R,ketamine,0.08907280799905132,0.05516143358218916,791.947651819111,-0.05970426495047071,0.23784988094857334,1.614766009776288,0.24910594267216948
s2_L,ketamine,0.07998197823445159,0.05516143358218876,791.9476518196165,-0.0687950947150691,0.22875905118397227,1.4499619215893116,0.2580638178712195
s2_R,ketamine,0.1251392393172533,0.05516143358218881,791.9476518179163,-0.023637833632268374,0.27391631226677493,2.2686002010952047,0.1649271421669572
ant_insula_L,placebo,0.07176536998647756,0.06663037684748098,794.5228753140794,-0.10794331525062703,0.2514740552235821,1.0770668482147525,0.32874020395588793
ant_insula_R,placebo,0.10430201284592541,0.0666303768474794,794.5228753124143,-0.07540667239117588,0.2840106980830267,1.5653823043006114,0.16504806200713953
dACC,placebo,0.10449414996762021,0.06663037684747715,794.5228753131081,-0.07521453526947461,0.284202835204715,1.5682659308203615,0.16504806200713953
dlPFC_R,placebo,0.1174671518929287,0.06663037684747966,794.5228753135706,-0.06224153334417262,0.29717583713003004,1.7629669446687508,0.16504806200713953
s1_R,placebo,0.2062982529899111,0.06663037684748152,794.5228753135706,0.02658956775280477,0.3860069382270175,3.096159180701208,0.014205093470632344
s2_L,placebo,0.027882924272233656,0.06663037684748094,794.5228753135243,-0.15182576096487113,0.20759160950933844,0.41847165799555,0.6757153920658981
s2_R,placebo,0.14233406264805998,0.06663037684748041,794.5228753076038,-0.03737462258904689,0.32204274788516685,2.136173760113474,0.11539590176737047
