effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),-3.305498205152551,1.1116764373580361,-2.9734355196087994,646.6205290407995,0.0030544742941281296
fixed,intensity1,-0.12019535225558414,0.060130490624084265,-1.9989085571745178,695.9235829821587,0.04600671571358425
fixed,session1,-0.16742461818889748,0.025320347962127236,-6.612255820469841,700.9200280769518,7.506345634372528e-11
fixed,ROI1,0.1088892392202722,0.062019282265104524,1.7557320117769133,700.909078820481,0.07957094925869757
fixed,ROI2,0.1522556263065219,0.062019282265104524,2.4549724012557514,700.909078820481,0.014331451879055079
fixed,ROI3,-0.16642906959623385,0.062019282265104524,-2.683505250590042,700.909078820481,0.007457403561739088
fixed,ROI4,0.10589132082388077,0.062019282265104524,1.7073935227312536,700.909078820481,0.08819178744828753
fixed,ROI5,-0.35379588229716186,0.062019282265104524,-5.704611039915678,700.909078820481,1.7202924516060293e-8
fixed,ROI6,0.00883993445201246,0.062019282265104524,0.14253525886071558,700.909078820481,0.8866981935091507
fixed,calib_temp,0.07558623886438084,0.025280339412370834,2.989921837338664,667.5446899455962,0.0028931433880201394
fixed,intensity1:session1,0.09396973940147678,0.0255014725264463,3.684875032374129,702.7049898798953,2.464163424831918e-4
fixed,intensity1:ROI1,-0.02664196324181069,0.062019282265104524,-0.42957548473276885,700.909078820481,0.6676364946528776
fixed,intensity1:ROI2,-0.04153600211276861,0.062019282265104524,-0.6697272299157041,700.909078820481,0.5032522533359554
fixed,intensity1:ROI3,-0.052925174269295445,0.062019282265104524,-0.8533664424406613,700.909078820481,0.3937476560207531
fixed,intensity1:ROI4,0.026962842404449322,0.062019282265104524,0.43474934600492965,700.909078820481,0.6638781921945387
fixed,intensity1:ROI5,0.07923699864518681,0.062019282265104524,1.2776187622824189,700.909078820481,0.2018068820114095
fixed,intensity1:ROI6,0.021281841780931215,0.062019282265104524,0.34314879185413527,700.909078820481,0.7315894207642368
fixed,session1:ROI1,0.004474979122195153,0.062019282265104524,0.07215464221379782,700.909078820481,0.942499425292704
fixed,session1:ROI2,-0.012385649212915625,0.062019282265104524,-0.19970642613973744,700.909078820481,0.8417681111467367
fixed,session1:ROI3,-0.008844444842631164,0.062019282265104524,-0.14260798447852302,700.909078820481,0.8866407749270573
fixed,session1:ROI4,0.007745547129861001,0.062019282265104524,0.12488933839563432,700.909078820481,0.9006469686525419
fixed,session1:ROI5,-0.04955810228675548,0.062019282265104524,-0.7990757144675892,700.909078820481,0.4245172022719643
fixed,session1:ROI6,0.02892938024562238,0.062019282265104524,0.46645783680569375,700.909078820481,0.641032760931164
fixed,intensity1:session1:ROI1,-0.020985359805163795,0.06201928226510452,-0.33836831125295563,700.9090788204807,0.7351869813428669
fixed,intensity1:session1:ROI2,-0.0046442215835381315,0.062019282265104524,-0.07488351064248332,700.909078820481,0.9403287630228478
fixed,intensity1:session1:ROI3,-0.004236897722015213,0.062019282265104524,-0.06831581352238779,700.909078820481,0.9455537198256855
fixed,intensity1:session1:ROI4,-0.007473099000112979,0.06201928226510453,-0.1204963799511391,700.9090788204813,0.9041244791161992
fixed,intensity1:session1:ROI5,0.031250874726548826,0.062019282265104524,0.5038896547200498,700.909078820481,0.6144972595745504
fixed,intensity1:session1:ROI6,-0.003067506675355228,0.062019282265104524,-0.0494605316817924,700.909078820481,0.9605663804327342
