effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),0.08776599950870786,0.13230398934977583,0.6633662366497384,88.56502755292648,0.5088190547764941
fixed,session1,-0.18278165092973814,0.025404473583120372,-7.194860792202548,340.72921858880613,4.0057753758780434e-12
fixed,ROI1,0.05430905176543579,0.0607881357176411,0.8934153206753955,337.091020235345,0.372272184148301
fixed,ROI2,0.08467021999833253,0.06078813571764109,1.3928741027956992,337.09102023534484,0.16457578780354487
fixed,ROI3,0.10788679509080067,0.0607881357176411,1.7748001944315466,337.091020235345,0.07683327602194064
fixed,ROI4,-0.05496315682879095,0.06078813571764109,-0.9041757273835971,337.09102023534484,0.36654794768738885
fixed,ROI5,-0.16152286609290983,0.0607881357176411,-2.6571445922141494,337.091020235345,0.008255677520836878
fixed,ROI6,-0.04338256293104373,0.06078813571764109,-0.7136682581047447,337.0910202353447,0.4759261546358954
fixed,calib_spread,0.11348454129320859,0.022569202579107293,5.028292022965101,349.7708206717965,7.920886833746526e-7
fixed,session1:ROI1,0.04277819099255979,0.06078813571764109,0.7037259900725216,337.09102023534484,0.4820892355713756
fixed,session1:ROI2,0.009467142796545012,0.06078813571764109,0.1557399759801745,337.09102023534484,0.8763312054781944
fixed,session1:ROI3,0.008636822129859811,0.060788135717641106,0.14208072065209512,337.0910202353452,0.8871011253794505
fixed,session1:ROI4,0.015233746731112838,0.06078813571764109,0.2506039468272739,337.09102023534484,0.8022730044860719
fixed,session1:ROI5,-0.06370421570793887,0.0607881357176411,-1.0479712028650272,337.091020235345,0.29540267733330206
fixed,session1:ROI6,0.0062530443913097955,0.06078813571764109,0.1028661977783787,337.0910202353447,0.918130332490798
